| id                                   | name            | venue_type | venue_subtype | capacity | is_active | program_access | created_at                    | updated_at                    |
| ------------------------------------ | --------------- | ---------- | ------------- | -------- | --------- | -------------- | ----------------------------- | ----------------------------- |
| e662b9a0-dca6-4643-bc26-ad48c6fc298f | LIBRARY         | lecture    | General       | 40       | true      | null           | 2026-04-25 04:15:15.115799+00 | 2026-04-27 05:09:44.252892+00 |
| 95b54c4d-c449-467b-b840-95ccc7d3b420 | OLD CANTEEN     | lecture    | General       | 50       | true      | null           | 2026-04-25 04:15:50.151822+00 | 2026-04-27 05:09:35.23785+00  |
| 0f93f76e-08da-454e-9459-43de9cef1c95 | RM 1            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:16:46.316125+00 | 2026-04-25 04:16:46.316125+00 |
| 32307363-f518-4392-8f6b-3ea3503e3acd | RM 103          | lecture    | General       | 50       | true      | null           | 2026-04-25 04:19:51.253548+00 | 2026-04-25 04:20:08.546996+00 |
| e10021f2-a59e-49ca-a33b-992ab67e1384 | RM 104          | lecture    | General       | 50       | true      | null           | 2026-04-25 04:20:03.264829+00 | 2026-04-25 04:20:03.264829+00 |
| 92635d4d-229d-489e-9ec5-8c15662c074b | RM 105          | lecture    | General       | 50       | true      | null           | 2026-04-25 04:20:33.526565+00 | 2026-04-25 04:20:33.526565+00 |
| 063c4aae-dbd8-42fe-91e3-2278f13809ea | RM 2            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:16:57.843202+00 | 2026-04-25 04:16:57.843202+00 |
| 89eca7d0-615c-4515-8bfa-86b9bd15164d | RM 3            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:17:14.816655+00 | 2026-04-25 04:17:14.816655+00 |
| 5ef7da72-b988-4f2a-8218-ca5da3b583de | RM 4            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:18:08.707454+00 | 2026-04-25 04:18:08.707454+00 |
| b58fe873-a7e2-4c34-b88f-8d05dc15a894 | RM 5            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:18:23.209776+00 | 2026-04-25 04:18:23.209776+00 |
| 7c9d3eab-5c6b-4869-bb9d-7cd499c88600 | RM 6            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:18:37.339107+00 | 2026-04-25 04:18:37.339107+00 |
| 96134659-c8c1-48bb-9612-539ab0bf1748 | RM 7            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:18:47.197007+00 | 2026-04-25 04:18:47.197007+00 |
| 5300046a-8468-400a-964d-ceb320576ce8 | RM 8            | lecture    | General       | 50       | true      | null           | 2026-04-25 04:19:08.465476+00 | 2026-04-25 04:19:08.465476+00 |
| 6f593a7f-be65-4f61-89ab-d4b1e3125693 | SCI LAB         | lecture    | General       | 50       | true      | null           | 2026-04-25 04:19:27.070827+00 | 2026-04-25 04:19:27.070827+00 |
| 5c62f3f8-f038-4cce-8a89-190e03d08701 | COMLAB 1        | lab        | Computer Lab  | 50       | true      | null           | 2026-04-25 04:00:15.102978+00 | 2026-04-25 04:10:51.764548+00 |
| 6b4a551e-fc61-4b31-9e8b-5f06af4796e5 | COMLAB 2        | lab        | Computer Lab  | 40       | true      | null           | 2026-04-25 04:22:04.827817+00 | 2026-04-25 04:22:04.827817+00 |
| 041a5843-d8a8-4f86-8191-c2447577c2b3 | FUNCTION HALL   | lab        | Computer Lab  | 50       | true      | null           | 2026-04-25 04:22:48.806288+00 | 2026-04-25 04:22:48.806288+00 |
| 8a99d99a-ba1d-4f16-af18-ed858f594161 | KITCHEN         | lab        | Computer Lab  | 50       | true      | null           | 2026-04-25 04:23:01.219897+00 | 2026-04-25 04:23:01.219897+00 |
| 5c4741e8-f9c1-4f98-85e9-56900dc18635 | CONFERENCE HALL | open_area  | PE Area       | null     | true      | null           | 2026-04-25 04:24:45.393542+00 | 2026-04-25 04:24:45.393542+00 |
| 81d82ede-2b98-4fb1-8ad7-30e2a78555b5 | PE AREA         | open_area  | PE Area       | null     | true      | null           | 2026-04-25 04:24:22.95106+00  | 2026-04-25 04:24:22.95106+00  |
| fcf15cbf-94d3-4d6f-9061-c510272a0327 | OJT             | off_campus | External      | null     | true      | null           | 2026-04-25 04:25:06.152224+00 | 2026-04-25 04:29:29.421885+00 |
