| id                                   | section_code | program_code | program_name                                   | year_level | semester | capacity | enrolled_count | available_slots | saturday_blocked | is_active | curriculum_version   | curriculum_is_active | school_year | term_semester | term_is_active | term_start_date | term_end_date | created_at                    | updated_at                    |
| ------------------------------------ | ------------ | ------------ | ---------------------------------------------- | ---------- | -------- | -------- | -------------- | --------------- | ---------------- | --------- | -------------------- | -------------------- | ----------- | ------------- | -------------- | --------------- | ------------- | ----------------------------- | ----------------------------- |
| 68075539-145b-4702-8a2c-4c904037477a | BEED 1-A     | BEED         | Bachelor of Elementary Education               | 1          | 2        | 50       | 0              | 50              | true             | true      | BEED Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:27:26.4868+00   | 2026-04-30 04:27:26.4868+00   |
| fcb1a689-8450-44d1-a431-66aeb124641b | BEED 2-A     | BEED         | Bachelor of Elementary Education               | 2          | 2        | 50       | 0              | 50              | false            | true      | BEED Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:27:37.55392+00  | 2026-04-30 04:27:37.55392+00  |
| 717497fc-2809-4527-9157-7a9697a6dcca | BEED 3-A     | BEED         | Bachelor of Elementary Education               | 3          | 2        | 50       | 0              | 50              | false            | true      | BEED Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:27:51.204107+00 | 2026-04-30 04:27:51.204107+00 |
| 75ea4fd3-1b1f-4e89-a0fc-cf7bc0e3d3e1 | BEED 4-B     | BEED         | Bachelor of Elementary Education               | 4          | 2        | 40       | 0              | 40              | false            | true      | BEED Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:28:03.283624+00 | 2026-04-30 04:28:03.283624+00 |
| d6ba4b34-8849-431b-b6c2-88d6e440890e | BSBA 1-A     | BSBA         | Bachelor of Science in Business Administration | 1          | 2        | 50       | 0              | 50              | true             | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:22:55.533886+00 | 2026-04-30 04:22:55.533886+00 |
| 3ae14093-a7da-4732-8d73-ae0c055fd6b2 | BSBA 1-B     | BSBA         | Bachelor of Science in Business Administration | 1          | 2        | 50       | 0              | 50              | true             | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:23:23.0591+00   | 2026-04-30 04:23:23.0591+00   |
| 76b503ce-52d7-440a-8ece-1fea992548c5 | BSBA 2-A     | BSBA         | Bachelor of Science in Business Administration | 2          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:23:40.405418+00 | 2026-04-30 04:23:40.405418+00 |
| 41513089-b714-4b69-96d6-cd3bccd33dc0 | BSBA 2-B     | BSBA         | Bachelor of Science in Business Administration | 2          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:23:51.064677+00 | 2026-04-30 04:23:51.064677+00 |
| 3fcbf4ee-a7b1-46d4-b6b3-b7c6bbc8b0cf | BSBA 2-C     | BSBA         | Bachelor of Science in Business Administration | 2          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:24:07.181657+00 | 2026-04-30 04:24:07.181657+00 |
| f9b991f8-c9cf-46d3-aebb-a88ebe2d56aa | BSBA 3-A     | BSBA         | Bachelor of Science in Business Administration | 3          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:24:23.207983+00 | 2026-04-30 04:24:33.090622+00 |
| e96fe719-2067-4d92-a8a5-41182190e8c4 | BSBA 3-B     | BSBA         | Bachelor of Science in Business Administration | 3          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:24:55.984716+00 | 2026-04-30 04:24:55.984716+00 |
| 22c28e30-cd02-43fb-adec-e0ba47186ed2 | BSBA 3-C     | BSBA         | Bachelor of Science in Business Administration | 3          | 2        | 50       | 0              | 50              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:25:04.688055+00 | 2026-04-30 04:25:04.688055+00 |
| 42776f82-8162-4cb0-8771-e4b72229d9e3 | BSBA 3-D     | BSBA         | Bachelor of Science in Business Administration | 3          | 2        | 40       | 0              | 40              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:26:56.598794+00 | 2026-04-30 04:26:56.598794+00 |
| ee1fc98a-4bf2-47e3-8c10-80a7ee075a3e | BSBA 4-A     | BSBA         | Bachelor of Science in Business Administration | 4          | 2        | 40       | 0              | 40              | true             | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:25:32.208935+00 | 2026-04-30 04:25:32.208935+00 |
| e0dc52ee-7fd5-4756-ae31-2b8542d9d46f | BSBA 4-B     | BSBA         | Bachelor of Science in Business Administration | 4          | 2        | 40       | 0              | 40              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:25:44.86544+00  | 2026-04-30 04:25:44.86544+00  |
| 84a1b798-2f07-4388-823a-e633c5ca4980 | BSBA 4-C     | BSBA         | Bachelor of Science in Business Administration | 4          | 2        | 40       | 0              | 40              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:25:53.587358+00 | 2026-04-30 04:25:53.587358+00 |
| 5c8ad717-d9da-4a47-abec-69eb29a8f032 | BSBA 4-D     | BSBA         | Bachelor of Science in Business Administration | 4          | 2        | 40       | 0              | 40              | false            | true      | BSBA Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:26:01.66812+00  | 2026-04-30 04:26:01.66812+00  |
| 2da81e0a-96b8-4927-aac6-d21ef5658c2b | BSHM 1-A     | BSHM         | Bachelor of Science in Hospitality Management  | 1          | 2        | 50       | 0              | 50              | true             | true      | BSHM Curriculum 2026 | true                 | 2025-2026   | 2             | true           | 2026-04-23      | 2026-05-13    | 2026-04-30 04:18:04.696861+00 | 2026-04-30 04:18:04.696861+00 |
